order_item_id,order_id,product_id,quantity,price,line_total
OI000001,O02484,P0154,2,20058.27,40116.54
OI000002,O01859,P0009,3,22013.97,66041.91
OI000003,O00686,P0148,2,3514.03,7028.06
OI000004,O00586,P0184,2,22388.43,44776.86
OI000005,O02399,P0036,4,3895.16,15580.64
OI000006,O00143,P0036,1,3895.16,3895.16
OI000007,O00967,P0073,3,19771.76,59315.28
OI000008,O02852,P0150,2,5458.53,10917.06
OI000009,O00718,P0001,3,5743.74,17231.22
OI000010,O00643,P0069,4,9577.52,38310.08
OI000011,O02549,P0037,2,24812.84,49625.68
OI000012,O00370,P0072,1,20167.54,20167.54
OI000013,O01110,P0107,2,15527.74,31055.48
OI000014,O00787,P0096,4,3465.64,13862.56
OI000015,O02787,P0141,2,19255.69,38511.38
OI000016,O01484,P0084,4,21564.16,86256.64
OI000017,O00950,P0043,2,2319.2,4638.4
OI000018,O01349,P0037,3,24812.84,74438.52
OI000019,O00522,P0025,1,5103.25,5103.25
OI000020,O02537,P0149,4,13429.22,53716.88
OI000021,O01953,P0169,3,11540.22,34620.66
OI000022,O02445,P0073,4,19771.76,79087.04
OI000023,O02944,P0170,2,19646.91,39293.82
OI000024,O00355,P0042,4,15627.28,62509.12
OI000025,O00947,P0002,4,8939.41,35757.64
OI000026,O02336,P0196,1,1894.9,1894.9
OI000027,O01483,P0136,3,4946.1,14838.3
OI000028,O01648,P0096,2,3465.64,6931.28
OI000029,O00536,P0061,1,22992.86,22992.86
OI000030,O01315,P0014,4,16770.23,67080.92
OI000031,O02899,P0113,1,1548.28,1548.28
OI000032,O02886,P0077,4,4420.76,17683.04
OI000033,O02216,P0021,2,14101.19,28202.38
OI000034,O00950,P0152,4,6105.92,24423.68
OI000035,O00621,P0178,1,21037.7,21037.7
OI000036,O00428,P0173,1,19693.89,19693.89
OI000037,O01726,P0192,4,17037.67,68150.68
OI000038,O02538,P0064,3,21300.48,63901.44
OI000039,O02403,P0154,1,20058.27,20058.27
OI000040,O02244,P0160,3,21124.49,63373.47
OI000041,O00545,P0057,3,9984.84,29954.52
OI000042,O02765,P0119,3,3642.01,10926.03
OI000043,O00824,P0181,3,11590.79,34772.37
OI000044,O02980,P0161,1,2542.26,2542.26
OI000045,O01003,P0052,1,9067.4,9067.4
OI000046,O00659,P0095,3,742.72,2228.16
OI000047,O02987,P0146,1,6569.35,6569.35
OI000048,O02828,P0163,3,3836.21,11508.63
OI000049,O02059,P0140,3,18367.0,55101.0
OI000050,O02444,P0179,3,1056.82,3170.46
OI000051,O00731,P0089,4,4453.48,17813.92
OI000052,O01833,P0010,2,16306.85,32613.7
OI000053,O00409,P0052,1,9067.4,9067.4
OI000054,O02410,P0034,1,5942.59,5942.59
OI000055,O00084,P0115,3,1538.74,4616.22
OI000056,O02204,P0195,4,17936.45,71745.8
OI000057,O00707,P0167,4,9459.62,37838.48
OI000058,O01962,P0136,1,4946.1,4946.1
OI000059,O02520,P0125,3,12784.61,38353.83
OI000060,O02667,P0157,1,2832.43,2832.43
OI000061,O01448,P0150,3,5458.53,16375.59
OI000062,O00134,P0198,3,401.5,1204.5
OI000063,O00788,P0189,2,3839.21,7678.42
OI000064,O02955,P0043,3,2319.2,6957.6
OI000065,O00864,P0177,2,6441.3,12882.6
OI000066,O00667,P0029,1,18928.47,18928.47
OI000067,O00277,P0106,1,5479.35,5479.35
OI000068,O01776,P0120,4,3122.48,12489.92
OI000069,O00882,P0081,2,16060.2,32120.4
OI000070,O02061,P0031,1,16656.3,16656.3
OI000071,O02390,P0181,2,11590.79,23181.58
OI000072,O02083,P0162,1,12257.2,12257.2
OI000073,O02607,P0128,2,15418.96,30837.92
OI000074,O01238,P0038,2,23182.32,46364.64
OI000075,O02453,P0185,3,15953.08,47859.24
OI000076,O02706,P0101,1,7864.22,7864.22
OI000077,O00159,P0132,4,10709.48,42837.92
OI000078,O01134,P0130,3,15635.01,46905.03
OI000079,O02597,P0012,4,8175.91,32703.64
OI000080,O01852,P0035,2,10042.97,20085.94
OI000081,O00279,P0198,3,401.5,1204.5
OI000082,O02527,P0110,2,1627.61,3255.22
OI000083,O00111,P0072,1,20167.54,20167.54
