order_id,customer_id,order_date,status
O00001,C00687,2026-01-01,processing
O00002,C00446,2025-08-16,delivered
O00003,C00611,2026-03-12,delivered
O00004,C00116,2026-02-03,delivered
O00005,C00270,2025-07-30,delivered
O00006,C00447,2026-01-26,processing
O00007,C00368,2026-05-14,delivered
O00008,C00253,2026-06-24,delivered
O00009,C00317,2026-05-06,cancelled
O00010,C00415,2026-03-18,delivered
O00011,C00095,2025-09-18,delivered
O00012,C00785,2025-12-16,delivered
O00013,C00892,2025-12-18,delivered
O00014,C00024,2026-06-04,delivered
O00015,C00628,2025-11-16,delivered
O00016,C00663,2025-05-18,delivered
O00017,C00850,2026-01-03,delivered
O00018,C00050,2025-08-08,shipped
O00019,C00502,2025-12-03,shipped
O00020,C00718,2025-08-11,delivered
O00021,C00498,2025-12-26,delivered
O00022,C00335,2025-11-25,delivered
O00023,C00079,2026-04-08,delivered
O00024,C00582,2026-01-17,shipped
O00025,C00027,2025-06-18,delivered
O00026,C00271,2025-08-05,delivered
O00027,C00562,2026-01-13,delivered
O00028,C00804,2025-04-29,delivered
O00029,C00247,2025-07-09,delivered
O00030,C00776,2026-01-05,delivered
O00031,C00591,2025-05-29,cancelled
O00032,C00387,2026-05-03,shipped
O00033,C00702,2026-01-09,delivered
O00034,C00559,2025-06-09,delivered
O00035,C00973,2025-12-17,processing
O00036,C00361,2025-10-15,delivered
O00037,C00866,2025-10-15,delivered
O00038,C00984,2025-08-14,delivered
O00039,C00488,2026-06-07,processing
O00040,C00352,2026-06-06,delivered
O00041,C00701,2025-09-30,delivered
O00042,C00928,2026-02-06,processing
O00043,C00256,2025-07-02,processing
O00044,C00222,2026-05-03,processing
O00045,C00884,2025-05-04,delivered
O00046,C00753,2026-02-18,delivered
O00047,C00781,2025-06-21,shipped
O00048,C00001,2025-10-15,shipped
O00049,C00546,2026-03-11,delivered
O00050,C00446,2025-04-23,delivered
O00051,C00079,2025-05-02,shipped
O00052,C00236,2026-06-28,shipped
O00053,C00334,2025-08-10,delivered
O00054,C00889,2025-02-08,delivered
O00055,C00349,2026-05-12,delivered
O00056,C00098,2025-08-21,delivered
O00057,C00082,2026-06-14,delivered
O00058,C00502,2025-05-29,delivered
O00059,C00967,2026-02-01,delivered
O00060,C00477,2025-10-29,delivered
O00061,C00927,2025-12-26,delivered
O00062,C00704,2025-08-26,shipped
O00063,C00765,2025-08-24,delivered
O00064,C00921,2025-07-22,delivered
O00065,C00550,2025-09-13,processing
O00066,C00014,2025-08-23,delivered
O00067,C00392,2025-12-11,cancelled
O00068,C00347,2026-06-18,processing
O00069,C00310,2026-04-11,delivered
O00070,C00386,2026-06-25,cancelled
O00071,C00209,2025-08-01,delivered
O00072,C00357,2026-04-08,delivered
O00073,C00974,2026-03-12,delivered
O00074,C00601,2025-10-10,delivered
O00075,C00568,2026-04-08,processing
O00076,C00094,2026-02-11,delivered
O00077,C00093,2025-03-29,delivered
O00078,C00340,2025-02-13,delivered
O00079,C00597,2026-04-06,delivered
O00080,C00445,2025-10-05,delivered
O00081,C00757,2026-02-25,delivered
O00082,C00022,2025-12-19,processing
O00083,C00291,2026-05-30,delivered
O00084,C00485,2025-01-19,shipped
O00085,C00784,2025-01-23,delivered
O00086,C00306,2026-02-17,shipped
O00087,C00634,2025-01-30,delivered
O00088,C00128,2025-04-18,delivered
O00089,C00625,2026-01-02,delivered
O00090,C00939,2025-10-08,processing
O00091,C00273,2025-05-08,delivered
O00092,C00848,2025-08-17,cancelled
O00093,C00442,2025-04-21,delivered
O00094,C00503,2025-05-16,delivered
O00095,C00130,2025-12-28,delivered
O00096,C00132,2025-07-05,cancelled
O00097,C00597,2025-05-09,delivered
O00098,C00935,2025-09-18,processing
O00099,C00482,2026-05-30,processing
O00100,C00862,2026-03-25,delivered
O00101,C00390,2025-04-14,delivered
O00102,C00593,2026-04-28,shipped
O00103,C00999,2025-08-12,delivered
O00104,C00985,2026-05-06,shipped
O00105,C00325,2026-04-18,delivered
O00106,C00069,2025-01-10,delivered
O00107,C00660,2026-02-09,shipped
O00108,C00448,2025-10-29,delivered
O00109,C00528,2025-08-19,delivered
O00110,C00819,2025-03-07,delivered
O00111,C00617,2025-04-22,delivered
O00112,C00165,2025-01-13,delivered
O00113,C00488,2026-01-28,shipped
O00114,C00713,2026-05-15,delivered
O00115,C00709,2025-08-22,delivered
O00116,C00426,2025-11-10,delivered
O00117,C00697,2025-01-12,delivered
O00118,C00834,2025-07-28,delivered
O00119,C00265,2025-01-14,processing
O00120,C00875,2026-02-22,shipped
O00121,C00612,2026-03-13,delivered
O00122,C00342,2026-01-12,delivered
O00123,C00832,2025-01-20,delivered
O00124,C00726,2025-03-11,delivered
O00125,C00278,2025-07-30,delivered
O00126,C00674,2025-04-11,delivered
O00127,C00439,2025-05-12,delivered
O00128,C00157,2026-01-16,delivered
O00129,C00422,2025-05-12,delivered
O00130,C00251,2025-01-20,cancelled
O00131,C00878,2026-06-20,delivered
O00132,C00609,2025-08-15,delivered
O00133,C00530,2025-06-03,delivered
O00134,C00327,2026-04-14,delivered
O00135,C00961,2026-02-09,delivered
O00136,C00895,2025-07-21,delivered
O00137,C00097,2025-02-07,delivered
O00138,C00513,2025-07-07,delivered
O00139,C00216,2025-02-26,shipped
O00140,C00132,2025-01-20,delivered
O00141,C00260,2025-09-30,delivered
O00142,C00125,2025-04-29,delivered
O00143,C00082,2026-05-31,delivered
O00144,C00283,2025-08-09,delivered
O00145,C00683,2026-06-10,delivered
O00146,C00059,2026-05-30,delivered
O00147,C00544,2025-12-02,shipped
O00148,C00161,2025-02-24,delivered
O00149,C00284,2026-05-15,delivered
O00150,C00106,2026-06-20,delivered
O00151,C00105,2025-06-11,cancelled
O00152,C00439,2025-06-08,delivered
O00153,C00228,2025-07-07,delivered
O00154,C00700,2025-03-01,delivered
O00155,C00582,2025-11-15,delivered
O00156,C00318,2025-07-30,delivered
O00157,C00464,2026-02-10,delivered
O00158,C00802,2025-04-19,processing
O00159,C00599,2025-03-17,cancelled
O00160,C00882,2026-06-26,delivered
O00161,C00874,2025-11-10,delivered
O00162,C00472,2025-04-27,cancelled
O00163,C00056,2025-01-19,delivered
O00164,C00625,2026-03-08,delivered
O00165,C00013,2025-12-16,delivered
O00166,C00440,2025-07-02,delivered
O00167,C00018,2025-04-23,delivered
O00168,C00694,2025-07-02,delivered
O00169,C00973,2026-04-26,delivered
O00170,C00113,2025-05-26,delivered
O00171,C00229,2025-04-23,delivered
O00172,C00171,2026-04-21,delivered
O00173,C00295,2025-10-30,shipped
O00174,C00189,2025-04-28,delivered
O00175,C00426,2025-06-10,delivered
O00176,C00977,2026-02-05,processing
O00177,C00079,2025-07-17,processing
O00178,C00658,2025-09-17,delivered
O00179,C00919,2025-02-16,delivered
O00180,C00182,2026-02-03,shipped
O00181,C00499,2025-03-19,shipped
O00182,C00798,2025-05-04,cancelled
O00183,C00762,2025-03-16,processing
O00184,C00866,2025-05-17,delivered
O00185,C00826,2026-02-04,delivered
O00186,C00708,2026-05-20,delivered
O00187,C00835,2026-05-15,delivered
O00188,C00071,2025-05-18,delivered
O00189,C00248,2025-02-19,delivered
O00190,C00146,2025-09-11,delivered
O00191,C00618,2026-03-02,shipped
O00192,C00775,2025-10-29,delivered
O00193,C00296,2025-12-15,delivered
O00194,C00582,2025-02-18,delivered
O00195,C00470,2025-03-15,delivered
O00196,C00506,2025-09-18,shipped
O00197,C00193,2025-12-22,delivered
O00198,C00068,2025-09-17,cancelled
O00199,C00494,2025-10-22,delivered
O00200,C00817,2025-11-09,delivered
O00201,C00052,2025-07-01,delivered
O00202,C00882,2025-12-30,delivered
O00203,C00363,2025-07-07,processing
O00204,C00797,2026-06-27,delivered
O00205,C00917,2026-02-12,processing
O00206,C00474,2026-02-18,delivered
O00207,C00846,2025-12-08,processing
O00208,C00521,2025-08-08,delivered
O00209,C00763,2025-06-12,processing
O00210,C00431,2025-08-08,delivered
O00211,C00844,2025-09-27,delivered
O00212,C00298,2026-02-04,delivered
O00213,C00435,2025-07-01,cancelled
O00214,C00696,2025-07-24,delivered
O00215,C00691,2025-08-16,delivered
O00216,C00198,2025-09-07,processing
O00217,C00128,2026-03-17,delivered
O00218,C00532,2026-06-17,delivered
O00219,C00984,2025-07-15,delivered
O00220,C00411,2026-06-03,delivered
O00221,C00934,2025-03-11,processing
O00222,C00840,2026-02-03,shipped
O00223,C00065,2025-07-22,delivered
O00224,C00694,2025-05-28,cancelled
O00225,C00241,2026-04-17,delivered
O00226,C00369,2025-07-18,delivered
O00227,C00536,2026-03-02,delivered
O00228,C00384,2026-05-07,delivered
O00229,C00431,2025-05-22,delivered
O00230,C00967,2025-11-09,cancelled
O00231,C00083,2025-06-14,shipped
O00232,C00982,2025-11-10,delivered
O00233,C00831,2025-01-21,delivered
O00234,C00697,2025-03-23,shipped
O00235,C00951,2025-05-11,cancelled
O00236,C00828,2025-11-01,processing
O00237,C00611,2026-01-06,delivered
O00238,C00574,2026-01-19,shipped
O00239,C00286,2026-03-21,delivered
O00240,C00989,2026-03-01,delivered
O00241,C00534,2025-06-10,delivered
O00242,C00459,2025-06-27,delivered
O00243,C00212,2026-05-05,delivered
O00244,C00126,2025-11-23,delivered
O00245,C00413,2025-10-16,delivered
O00246,C00499,2025-12-20,shipped
O00247,C00425,2025-01-28,delivered
O00248,C00554,2025-02-12,delivered
O00249,C00610,2026-02-27,delivered
O00250,C00961,2025-06-26,cancelled
O00251,C00543,2026-06-13,delivered
O00252,C00158,2026-05-09,delivered
O00253,C00112,2025-07-17,delivered
O00254,C00402,2026-06-01,processing
O00255,C00759,2026-05-29,cancelled
O00256,C00122,2025-01-22,delivered
O00257,C00273,2025-04-22,delivered
O00258,C00294,2025-02-26,processing
O00259,C00398,2025-03-07,delivered
O00260,C00471,2025-04-08,delivered
O00261,C00985,2025-05-24,delivered
O00262,C00207,2026-03-11,delivered
O00263,C00110,2025-03-27,delivered
O00264,C00440,2025-12-10,delivered
O00265,C00278,2025-10-21,delivered
O00266,C00963,2025-08-31,cancelled
O00267,C00568,2025-02-01,delivered
O00268,C00887,2026-01-26,shipped
O00269,C00915,2025-10-04,delivered
O00270,C00569,2026-06-16,delivered
O00271,C00940,2025-06-03,delivered
O00272,C00482,2026-01-18,processing
O00273,C00803,2025-03-09,shipped
O00274,C00114,2025-08-02,delivered
O00275,C00893,2026-01-11,shipped
O00276,C00897,2025-08-01,delivered
O00277,C00820,2025-03-20,cancelled
O00278,C00853,2026-01-16,delivered
O00279,C00477,2025-02-27,processing
O00280,C00710,2025-01-26,delivered
O00281,C00933,2026-03-23,delivered
O00282,C00321,2025-03-07,delivered
O00283,C00179,2025-09-11,delivered
O00284,C00897,2025-02-13,delivered
O00285,C00219,2025-04-07,delivered
O00286,C00789,2025-08-15,delivered
O00287,C00949,2026-03-12,delivered
O00288,C00528,2026-01-14,delivered
O00289,C00492,2025-06-27,delivered
O00290,C00891,2026-03-03,cancelled
O00291,C00061,2025-11-03,delivered
O00292,C00054,2026-05-19,delivered
O00293,C00680,2025-09-25,delivered
O00294,C00538,2025-01-08,delivered
O00295,C00848,2026-05-23,delivered
O00296,C00988,2026-04-21,delivered
O00297,C00065,2025-10-24,delivered
O00298,C00612,2025-06-13,cancelled
O00299,C00586,2026-04-30,delivered
O00300,C00704,2025-03-13,delivered
O00301,C00171,2025-08-26,delivered
O00302,C00273,2025-04-14,delivered
O00303,C00889,2025-07-29,shipped
O00304,C00699,2026-04-13,delivered
O00305,C00535,2026-03-30,delivered
O00306,C00391,2025-09-25,delivered
O00307,C00940,2026-01-21,delivered
O00308,C00693,2026-01-22,delivered
O00309,C00327,2025-09-16,shipped
O00310,C00108,2025-10-10,shipped
O00311,C00847,2025-02-09,processing
O00312,C00162,2026-05-01,processing
O00313,C00814,2025-08-08,delivered
O00314,C00452,2025-05-09,delivered
O00315,C00206,2026-06-04,shipped
O00316,C00590,2025-09-17,processing
O00317,C00016,2026-01-01,shipped
O00318,C00327,2026-06-28,delivered
O00319,C00608,2026-06-08,delivered
O00320,C00659,2025-01-16,processing
O00321,C00002,2025-05-09,shipped
O00322,C00010,2025-04-19,cancelled
O00323,C00434,2026-06-17,delivered
O00324,C00125,2025-09-26,delivered
O00325,C00081,2025-06-11,delivered
O00326,C00485,2025-09-17,shipped
O00327,C00652,2025-04-12,delivered
O00328,C00838,2026-05-21,delivered
O00329,C00150,2025-09-04,cancelled
O00330,C00800,2026-06-21,delivered
O00331,C00873,2025-05-11,shipped
O00332,C00340,2025-12-19,delivered
O00333,C00129,2025-07-15,processing
O00334,C00438,2026-01-17,delivered
O00335,C00751,2025-08-15,processing
O00336,C00501,2026-04-21,processing
O00337,C00058,2026-04-22,delivered
O00338,C00198,2025-09-22,delivered
O00339,C00211,2026-01-07,delivered
O00340,C00914,2026-05-01,delivered
O00341,C00902,2026-03-10,processing
O00342,C00045,2025-07-30,delivered
O00343,C00097,2026-01-12,delivered
