payment_id,order_id,payment_type,payment_status,payment_value
PAY00001,O00001,UPI,paid,44535.61
PAY00002,O00002,Net Banking,paid,0.0
PAY00003,O00003,UPI,paid,18134.8
PAY00004,O00004,Cash on Delivery,paid,0.0
PAY00005,O00005,Net Banking,paid,26664.21
PAY00006,O00006,Debit Card,paid,100962.48
PAY00007,O00007,Credit Card,paid,0.0
PAY00008,O00008,Cash on Delivery,paid,93633.96
PAY00009,O00009,Debit Card,paid,41848.92
PAY00010,O00010,Cash on Delivery,paid,99582.84
PAY00011,O00011,Net Banking,pending,0.0
PAY00012,O00012,Cash on Delivery,paid,67880.56
PAY00013,O00013,Cash on Delivery,failed,26180.33
PAY00014,O00014,Cash on Delivery,paid,0.0
PAY00015,O00015,UPI,paid,17747.74
PAY00016,O00016,Debit Card,paid,199878.33
PAY00017,O00017,Net Banking,paid,57436.24
PAY00018,O00018,Credit Card,paid,38287.52
PAY00019,O00019,Net Banking,paid,0.0
PAY00020,O00020,Net Banking,paid,66041.91
PAY00021,O00021,UPI,paid,149424.18
PAY00022,O00022,UPI,paid,0.0
PAY00023,O00023,Cash on Delivery,paid,66858.71
PAY00024,O00024,Net Banking,paid,107187.76
PAY00025,O00025,Debit Card,pending,40934.94
PAY00026,O00026,UPI,paid,0.0
PAY00027,O00027,UPI,paid,80934.96
PAY00028,O00028,Debit Card,paid,47827.87
PAY00029,O00029,UPI,paid,1783.55
PAY00030,O00030,Debit Card,paid,117928.22
PAY00031,O00031,Credit Card,paid,112023.11
PAY00032,O00032,Debit Card,paid,69565.54
PAY00033,O00033,Credit Card,paid,0.0
PAY00034,O00034,Cash on Delivery,pending,9257.21
PAY00035,O00035,Cash on Delivery,paid,119530.57
PAY00036,O00036,UPI,paid,52509.0
PAY00037,O00037,Debit Card,paid,32737.72
PAY00038,O00038,UPI,paid,135285.46
PAY00039,O00039,Debit Card,paid,38732.92
PAY00040,O00040,UPI,paid,45985.72
PAY00041,O00041,Cash on Delivery,paid,85201.92
PAY00042,O00042,Cash on Delivery,paid,17570.15
PAY00043,O00043,UPI,failed,55133.16
PAY00044,O00044,Debit Card,paid,38821.26
PAY00045,O00045,Net Banking,paid,0.0
PAY00046,O00046,Debit Card,paid,176769.1
PAY00047,O00047,UPI,pending,22087.68
PAY00048,O00048,Debit Card,paid,9930.49
PAY00049,O00049,Credit Card,paid,75060.19
PAY00050,O00050,Debit Card,paid,132220.36
PAY00051,O00051,Cash on Delivery,paid,2275.32
PAY00052,O00052,Cash on Delivery,paid,56718.69
PAY00053,O00053,Credit Card,paid,39145.0
PAY00054,O00054,Debit Card,paid,0.0
PAY00055,O00055,Net Banking,paid,51832.06
PAY00056,O00056,Debit Card,paid,18928.47
PAY00057,O00057,Cash on Delivery,paid,3399.86
PAY00058,O00058,Cash on Delivery,paid,0.0
PAY00059,O00059,UPI,paid,45355.56
PAY00060,O00060,Cash on Delivery,paid,0.0
PAY00061,O00061,UPI,paid,61547.8
PAY00062,O00062,Cash on Delivery,paid,78055.97
PAY00063,O00063,Cash on Delivery,paid,96585.78
PAY00064,O00064,Net Banking,pending,20705.69
PAY00065,O00065,UPI,paid,79259.94
PAY00066,O00066,UPI,paid,86688.09
PAY00067,O00067,Cash on Delivery,paid,74728.77
PAY00068,O00068,UPI,paid,115843.88
PAY00069,O00069,Cash on Delivery,paid,66301.56
PAY00070,O00070,Cash on Delivery,paid,75624.92
PAY00071,O00071,Debit Card,paid,8502.28
PAY00072,O00072,UPI,paid,213710.4
PAY00073,O00073,Credit Card,paid,0.0
PAY00074,O00074,UPI,pending,38955.11
PAY00075,O00075,UPI,paid,42600.96
PAY00076,O00076,Net Banking,paid,0.0
PAY00077,O00077,Credit Card,paid,0.0
PAY00078,O00078,Credit Card,paid,68126.28
PAY00079,O00079,Net Banking,paid,127145.87
PAY00080,O00080,Net Banking,paid,87294.28
PAY00081,O00081,UPI,paid,11314.24
PAY00082,O00082,Debit Card,paid,131110.02
PAY00083,O00083,Net Banking,paid,0.0
PAY00084,O00084,Credit Card,paid,79589.41
PAY00085,O00085,Credit Card,paid,157616.23
PAY00086,O00086,UPI,paid,27434.9
PAY00087,O00087,Debit Card,paid,13071.85
PAY00088,O00088,Cash on Delivery,pending,0.0
PAY00089,O00089,Net Banking,paid,0.0
PAY00090,O00090,Net Banking,paid,15599.91
PAY00091,O00091,UPI,paid,0.0
PAY00092,O00092,Debit Card,paid,95440.06
PAY00093,O00093,Credit Card,paid,25361.42
PAY00094,O00094,Credit Card,pending,0.0
PAY00095,O00095,Cash on Delivery,paid,88094.66
PAY00096,O00096,Credit Card,paid,75538.49
PAY00097,O00097,Net Banking,failed,0.0
PAY00098,O00098,Cash on Delivery,paid,0.0
PAY00099,O00099,Debit Card,paid,121433.79
PAY00100,O00100,Cash on Delivery,failed,90569.06
PAY00101,O00101,Debit Card,paid,6244.96
PAY00102,O00102,Credit Card,paid,0.0
PAY00103,O00103,UPI,paid,13744.19
PAY00104,O00104,Cash on Delivery,paid,0.0
PAY00105,O00105,Cash on Delivery,paid,93690.22
PAY00106,O00106,Net Banking,paid,58604.78
PAY00107,O00107,Net Banking,paid,62652.59
PAY00108,O00108,Debit Card,paid,19255.69
PAY00109,O00109,UPI,paid,21992.64
PAY00110,O00110,Net Banking,paid,0.0
PAY00111,O00111,Net Banking,failed,178863.63
PAY00112,O00112,Credit Card,pending,172737.54
PAY00113,O00113,Credit Card,pending,1155.78
PAY00114,O00114,Net Banking,paid,85863.0
PAY00115,O00115,Debit Card,paid,32191.79
PAY00116,O00116,UPI,paid,0.0
PAY00117,O00117,Net Banking,paid,27974.04
PAY00118,O00118,Debit Card,paid,22553.87
PAY00119,O00119,Debit Card,paid,0.0
PAY00120,O00120,Net Banking,paid,62117.07
PAY00121,O00121,Debit Card,pending,34242.0
PAY00122,O00122,Cash on Delivery,pending,137393.32
PAY00123,O00123,Debit Card,paid,0.0
PAY00124,O00124,Net Banking,paid,0.0
PAY00125,O00125,Debit Card,paid,12854.33
PAY00126,O00126,Net Banking,paid,112618.79
PAY00127,O00127,Credit Card,paid,0.0
PAY00128,O00128,Net Banking,paid,0.0
PAY00129,O00129,Debit Card,paid,88036.04
PAY00130,O00130,Net Banking,paid,13889.68
PAY00131,O00131,UPI,pending,45560.22
PAY00132,O00132,Net Banking,paid,100485.49
PAY00133,O00133,Net Banking,paid,44088.13
PAY00134,O00134,UPI,paid,11411.0
PAY00135,O00135,UPI,paid,0.0
PAY00136,O00136,UPI,paid,189749.08
PAY00137,O00137,Cash on Delivery,paid,0.0
PAY00138,O00138,Net Banking,paid,5350.65
PAY00139,O00139,UPI,paid,73682.36
PAY00140,O00140,UPI,paid,0.0
PAY00141,O00141,Credit Card,paid,0.0
PAY00142,O00142,Cash on Delivery,paid,12895.91
PAY00143,O00143,Net Banking,paid,34486.76
PAY00144,O00144,Debit Card,pending,85889.56
PAY00145,O00145,Cash on Delivery,paid,0.0
PAY00146,O00146,Cash on Delivery,pending,0.0
PAY00147,O00147,Credit Card,paid,34258.67
PAY00148,O00148,Net Banking,paid,76932.21
PAY00149,O00149,Net Banking,paid,99749.58
PAY00150,O00150,UPI,paid,24828.2
PAY00151,O00151,UPI,paid,70374.88
PAY00152,O00152,Cash on Delivery,paid,10842.88
PAY00153,O00153,Credit Card,paid,73906.57
PAY00154,O00154,Net Banking,pending,50455.6
PAY00155,O00155,Credit Card,paid,32128.44
PAY00156,O00156,Debit Card,paid,41036.73
PAY00157,O00157,Net Banking,paid,0.0
PAY00158,O00158,UPI,paid,128716.28
PAY00159,O00159,Cash on Delivery,paid,99969.32
PAY00160,O00160,Credit Card,paid,24804.73
