product_id,product_name,category,price
P0001,Product 1,Books,5743.74
P0002,Product 2,Clothing,8939.41
P0003,Product 3,Beauty,1828.65
P0004,Product 4,Sports,13024.59
P0005,Product 5,Sports,1783.55
P0006,Product 6,Books,20028.88
P0007,Product 7,Sports,5919.43
P0008,Product 8,Home,13546.3
P0009,Product 9,Sports,22013.97
P0010,Product 10,Clothing,16306.85
P0011,Product 11,Clothing,13370.65
P0012,Product 12,Beauty,8175.91
P0013,Product 13,Electronics,8391.75
P0014,Product 14,Home,16770.23
P0015,Product 15,Beauty,24854.07
P0016,Product 16,Home,16579.8
P0017,Product 17,Electronics,13988.81
P0018,Product 18,Sports,18293.2
P0019,Product 19,Sports,11683.62
P0020,Product 20,Electronics,1597.54
P0021,Product 21,Beauty,14101.19
P0022,Product 22,Electronics,23944.87
P0023,Product 23,Books,4465.04
P0024,Product 24,Clothing,17281.12
P0025,Product 25,Beauty,5103.25
P0026,Product 26,Home,13442.11
P0027,Product 27,Books,2507.24
P0028,Product 28,Beauty,11314.24
P0029,Product 29,Electronics,18928.47
P0030,Product 30,Electronics,8754.53
P0031,Product 31,Electronics,16656.3
P0032,Product 32,Electronics,19906.7
P0033,Product 33,Home,23186.73
P0034,Product 34,Books,5942.59
P0035,Product 35,Sports,10042.97
P0036,Product 36,Clothing,3895.16
P0037,Product 37,Home,24812.84
P0038,Product 38,Home,23182.32
P0039,Product 39,Sports,13544.93
P0040,Product 40,Sports,21066.63
P0041,Product 41,Clothing,13071.85
P0042,Product 42,Clothing,15627.28
P0043,Product 43,Sports,2319.2
P0044,Product 44,Electronics,18906.23
P0045,Product 45,Home,3280.07
P0046,Product 46,Beauty,20669.08
P0047,Product 47,Clothing,19572.5
P0048,Product 48,Clothing,17747.74
P0049,Product 49,Sports,1000.39
P0050,Product 50,Books,7647.9
P0051,Product 51,Beauty,6651.5
P0052,Product 52,Beauty,9067.4
P0053,Product 53,Clothing,2282.3
P0054,Product 54,Electronics,23430.25
P0055,Product 55,Books,13889.68
P0056,Product 56,Beauty,7707.56
P0057,Product 57,Clothing,9984.84
P0058,Product 58,Beauty,11235.34
P0059,Product 59,Books,15054.8
P0060,Product 60,Books,12940.42
P0061,Product 61,Home,22992.86
P0062,Product 62,Sports,12474.39
P0063,Product 63,Sports,24804.73
P0064,Product 64,Clothing,21300.48
P0065,Product 65,Books,5291.91
P0066,Product 66,Home,23271.82
P0067,Product 67,Home,2997.52
P0068,Product 68,Beauty,20454.5
P0069,Product 69,Beauty,9577.52
P0070,Product 70,Home,21961.56
P0071,Product 71,Beauty,21714.61
P0072,Product 72,Books,20167.54
P0073,Product 73,Electronics,19771.76
P0074,Product 74,Books,7686.51
P0075,Product 75,Home,2114.89
P0076,Product 76,Home,10134.21
P0077,Product 77,Books,4420.76
P0078,Product 78,Beauty,17404.28
P0079,Product 79,Beauty,8717.88
P0080,Product 80,Sports,24392.69
P0081,Product 81,Home,16060.2
P0082,Product 82,Clothing,20579.77
P0083,Product 83,Sports,3399.86
P0084,Product 84,Beauty,21564.16
P0085,Product 85,Books,23076.65
P0086,Product 86,Beauty,12227.84
P0087,Product 87,Books,15195.7
P0088,Product 88,Sports,19143.76
P0089,Product 89,Home,4453.48
P0090,Product 90,Beauty,12613.9
P0091,Product 91,Books,10026.71
P0092,Product 92,Home,3744.71
P0093,Product 93,Clothing,9251.61
P0094,Product 94,Books,1797.49
P0095,Product 95,Sports,742.72
P0096,Product 96,Clothing,3465.64
P0097,Product 97,Clothing,24081.57
P0098,Product 98,Electronics,13783.29
P0099,Product 99,Beauty,24148.97
P0100,Product 100,Books,10869.2
P0101,Product 101,Clothing,7864.22
P0102,Product 102,Electronics,12702.93
P0103,Product 103,Sports,11043.84
P0104,Product 104,Home,2731.05
P0105,Product 105,Books,16056.58
P0106,Product 106,Clothing,5479.35
P0107,Product 107,Beauty,15527.74
P0108,Product 108,Electronics,16290.01
P0109,Product 109,Clothing,3885.42
P0110,Product 110,Beauty,1627.61
P0111,Product 111,Clothing,19540.96
P0112,Product 112,Books,11549.03
P0113,Product 113,Books,1548.28
P0114,Product 114,Books,24872.17
P0115,Product 115,Sports,1538.74
P0116,Product 116,Sports,17406.38
P0117,Product 117,Electronics,24593.61
P0118,Product 118,Books,6055.58
P0119,Product 119,Beauty,3642.01
P0120,Product 120,Clothing,3122.48
P0121,Product 121,Home,7651.55
P0122,Product 122,Beauty,2616.04
P0123,Product 123,Sports,17334.82
P0124,Product 124,Sports,1651.07
P0125,Product 125,Beauty,12784.61
P0126,Product 126,Sports,24917.75
P0127,Product 127,Books,20367.86
P0128,Product 128,Electronics,15418.96
P0129,Product 129,Clothing,7725.72
P0130,Product 130,Electronics,15635.01
P0131,Product 131,Clothing,13223.33
P0132,Product 132,Clothing,10709.48
P0133,Product 133,Electronics,3354.69
P0134,Product 134,Beauty,22176.44
P0135,Product 135,Clothing,11299.64
P0136,Product 136,Electronics,4946.1
P0137,Product 137,Clothing,9257.21
P0138,Product 138,Home,10411.83
P0139,Product 139,Beauty,20705.69
P0140,Product 140,Books,18367.0
P0141,Product 141,Clothing,19255.69
P0142,Product 142,Home,374.68
P0143,Product 143,Books,10462.23
P0144,Product 144,Books,12085.47
P0145,Product 145,Clothing,577.89
P0146,Product 146,Electronics,6569.35
P0147,Product 147,Clothing,19031.22
P0148,Product 148,Home,3514.03
P0149,Product 149,Books,13429.22
P0150,Product 150,Clothing,5458.53
P0151,Product 151,Electronics,401.81
P0152,Product 152,Clothing,6105.92
P0153,Product 153,Beauty,24399.26
P0154,Product 154,Electronics,20058.27
P0155,Product 155,Home,23993.46
P0156,Product 156,Books,12247.57
P0157,Product 157,Clothing,2832.43
P0158,Product 158,Electronics,13744.19
P0159,Product 159,Beauty,11414.0
P0160,Product 160,Electronics,21124.49
P0161,Product 161,Sports,2542.26
P0162,Product 162,Beauty,12257.2
P0163,Product 163,Home,3836.21
P0164,Product 164,Books,8184.43
P0165,Product 165,Home,18460.19
P0166,Product 166,Clothing,11952.85
P0167,Product 167,Electronics,9459.62
P0168,Product 168,Sports,9922.46
P0169,Product 169,Beauty,11540.22
P0170,Product 170,Beauty,19646.91
P0171,Product 171,Electronics,22312.91
P0172,Product 172,Sports,23887.83
P0173,Product 173,Electronics,19693.89
P0174,Product 174,Clothing,7953.63
P0175,Product 175,Home,17234.55
P0176,Product 176,Beauty,10996.32
P0177,Product 177,Clothing,6441.3
P0178,Product 178,Home,21037.7
P0179,Product 179,Clothing,1056.82
P0180,Product 180,Sports,22553.87
P0181,Product 181,Beauty,11590.79
P0182,Product 182,Electronics,15966.32
P0183,Product 183,Electronics,16517.91
P0184,Product 184,Home,22388.43
P0185,Product 185,Books,15953.08
P0186,Product 186,Sports,15386.95
P0187,Product 187,Home,1759.64
P0188,Product 188,Books,13008.36
P0189,Product 189,Clothing,3839.21
P0190,Product 190,Sports,18462.1
P0191,Product 191,Clothing,12854.33
P0192,Product 192,Beauty,17037.67
P0193,Product 193,Sports,1137.66
P0194,Product 194,Books,2211.32
P0195,Product 195,Beauty,17936.45
P0196,Product 196,Electronics,1894.9
P0197,Product 197,Books,1874.29
P0198,Product 198,Home,401.5
P0199,Product 199,Electronics,23916.88
P0200,Product 200,Electronics,18463.96
